gadmid,dslr_med,lsl_med,n_seg_ir,var_med
3447,0.00699998252093792,0.44200003147125244,1,0.44900001399219036
3448,-0.03500001132488251,0.4520000219345093,2,0.41700001060962677
3459,-0.027833339447776478,0.4676666855812073,3,0.4398333461334308
3462,-0.019333337278415758,0.510833352804184,6,0.4915000155257682
3464,-0.028500009328126907,0.47050002217292786,1,0.44200001284480095
3466,-0.02149999508401379,0.5032500103116035,2,0.48175001522758976
3469,-0.021500005794223398,0.49550002068281174,2,0.47400001488858834
3471,-0.026500015519559383,0.5115000307559967,1,0.4850000152364373
3472,-0.04199998639523983,0.5,1,0.45800001360476017
3474,-0.0255000171600841,0.5067500323057175,4,0.48125001514563337
3485,-0.026499999687075615,0.4620000123977661,2,0.4355000127106905
3487,-0.03850001282989979,0.5025000274181366,2,0.4640000145882368
3489,-0.03850001282989979,0.5025000274181366,2,0.4640000145882368
3491,0.00699998252093792,0.44200003147125244,1,0.44900001399219036
3492,0.0036666647841533027,0.43933334946632385,3,0.44300001425047714
3496,-0.028000014019198716,0.5070000290870667,2,0.47900001506786793
3497,-0.028000014019198716,0.5070000290870667,2,0.47900001506786793
3498,-0.028000014019198716,0.5070000290870667,1,0.47900001506786793
3499,-0.028000014019198716,0.5070000290870667,3,0.47900001506786793
3500,-0.03299999330192804,0.5040000081062317,1,0.47100001480430365
3501,-0.025999993085861206,0.46700000762939453,1,0.4410000145435333
3502,-0.027250006794929504,0.43150001764297485,2,0.40425001084804535
3503,-0.028000014019198716,0.5070000290870667,1,0.47900001506786793
3504,-0.04012501519173384,0.4646250270307064,4,0.42450001183897257
3505,-0.03631579846535858,0.42355265037009593,19,0.38723685190473733
3506,0.009749995544552803,0.5237500220537186,2,0.5335000175982714
3508,0.006666654720902443,0.5231666962305704,6,0.5298333509514729
3517,-2.0489096641540527e-08,0.45100003480911255,2,0.4510000143200159
3518,0.0104999965056777,0.44400001764297486,5,0.45450001414865254
3519,0.0022999865934252737,0.4534000277519226,5,0.4557000143453479
3520,-0.00700001697987318,0.4790000319480896,1,0.4720000149682164
3522,-0.02700003795325756,0.5190000534057617,1,0.49200001545250416
3523,-0.024250000715255737,0.4987500160932541,2,0.47450001537799835
3524,-0.026750026736408472,0.5152500420808792,2,0.48850001534447074
3525,-0.02700003795325756,0.5190000534057617,1,0.49200001545250416
3526,-0.02149999508401379,0.5032500103116035,2,0.48175001522758976
3527,-0.022499998100101948,0.5197500139474869,2,0.49725001584738493
3528,-0.03800003230571747,0.5010000467300415,1,0.46300001442432404
3529,-0.02766667374720176,0.5124666889508566,15,0.4848000152036548
3530,-0.026000008918344975,0.5120000243186951,1,0.4860000154003501
3534,-0.026000008918344975,0.5120000243186951,1,0.4860000154003501
3537,-0.026000008918344975,0.5120000243186951,1,0.4860000154003501
3541,-0.026499999687075615,0.4620000123977661,2,0.4355000127106905
3542,-0.026499999687075615,0.4620000123977661,1,0.4355000127106905
3546,-0.026499999687075615,0.4620000123977661,1,0.4355000127106905
3547,-0.026499999687075615,0.4620000123977661,2,0.4355000127106905
3548,-0.02750000450760126,0.466250017285347,2,0.4387500127777457
3550,-0.026499999687075615,0.4620000123977661,1,0.4355000127106905
3551,-0.026499999687075615,0.4620000123977661,1,0.4355000127106905
3552,-0.026499999687075615,0.4620000123977661,1,0.4355000127106905
3554,-0.026499999687075615,0.4620000123977661,2,0.4355000127106905
3555,-0.026499999687075615,0.4620000123977661,1,0.4355000127106905
3559,-0.026499999687075615,0.4620000123977661,1,0.4355000127106905
3562,-0.03033335196475188,0.5066667000452677,3,0.4763333480805158
3566,-0.031500023789703846,0.5155000388622284,1,0.48400001507252455
3569,-0.031500023789703846,0.5155000388622284,2,0.48400001507252455
3570,-0.031500023789703846,0.5155000388622284,1,0.48400001507252455
3571,-2.0489096641540527e-08,0.45100003480911255,1,0.4510000143200159
3573,0.009999983012676239,0.5135000348091125,2,0.5235000178217888
3579,0.005499992519617081,0.41850002110004425,2,0.42400001361966133
3583,0.007500000298023224,0.5035000145435333,1,0.5110000148415565
3584,-0.03400001674890518,0.44200003147125244,2,0.40800001472234726
3586,-0.03299999330192804,0.5040000081062317,1,0.47100001480430365
3592,-0.032499998807907104,0.43650001287460327,5,0.40400001406669617
3593,0.008500006049871445,0.5315000116825104,2,0.5400000177323818
3598,-0.02950003184378147,0.5195000469684601,1,0.4900000151246786
3601,-0.022500007413327694,0.507500022649765,4,0.4850000152364373
